"avg_sleep_hours_per_night
",avg_exercise_days_per_week,avg_work_or_study_hours_per_week,avg_screen_hours_per_day,social_interaction_quality_rating,diet_healthiness_rating,smoking_drinking_habits_rating,avg_recreational_hours_per_week,stress_probability
6,0,40,2,4,6,2,3,1
7.5,3,50,4,6,5,3,5,0
5,0,45,5,5,4,6,1,1
6.5,2,35,6,5,7,4,10,0
8,0,45,3,7,5,1,2,0
5,2,50,6,2,6,4,8,1
8,2,20,7,8,8,3,4,0
4,0,54,9,3,3,5,0,1
6,2,60,3,6,6,4,4,1
6.5,0,25,8,4,5,2,4,0
7.5,4,0,10,6,7,1,0,0
6,2,45,12,3,6,5,8,1
4.5,0,60,2,4,4,6,2,1
7,5,55,14,7,8,1,6,0
7,0,20,8,5,6,3,5,0
5,0,60,4,4,4,1,4,1
7,1,40,7,7,7,4,5,0
6.5,0,50,8,5,6,8,7,1
5,2,15,7,6,4,7,21,1
6,0,30,5,8,5,2,14,0
6,0,55,2,3,5,6,3,1
7.5,4,45,4,7,7,4,8,0
5,2,30,6,5,6,3,2,0
6,0,70,3,4,6,5,0,1
8,2,40,5,8,6,2,4,0
5.5,0,50,7,4,5,6,7,1
6.5,3,20,8,6,7,3,4,0
4,0,70,12,2,4,7,0,1
8,4,50,6,8,8,1,5,0
6,0,35,5,4,6,2,10,1
6,2,50,8,4,5,4,0,1
8,0,35,4,7,6,3,6,0
5.5,0,50,12,6,5,1,8,1
6.5,0,50,3,5,4,5,0,1
7,2,50,9,7,7,1,7,0
5.5,0,60,6,4,5,3,5,1
7,3,30,7,8,8,4,12,0
6.5,0,55,4,5,5,3,5,1
5,0,70,3,7,4,4,1,1
7,0,35,6,6,5,4,8,0
6,3,45,8,4,6,5,3,1
7,1,60,4,3,4,3,2,1
6,0,35,6,5,7,1,4,0
6.5,0,40,7,2,5,3,5,1
8,5,50,8,4,7,1,7,0
5,0,54,12,5,7,1,0,1
7,0,45,3,5,6,4,5,0
5.5,2,55,9,4,5,3,7,1
7,0,0,12,6,6,2,14,0
6.5,2,30,5,4,5,8,1,1
7,0,45,2,5,6,4,4,0
7,2,50,8,7,7,2,6,0
6.5,0,55,4,3,6,1,2,1
8,2,40,4,8,7,2,8,0
5.5,0,55,4,4,5,3,3,1
7,3,30,6,7,8,4,5,0
6,2,50,5,2,4,3,5,1
5,0,72,8,5,5,2,0,1
7.5,3,40,8,8,8,1,5,0
6,0,40,8,5,6,4,5,1
5.5,2,50,4,4,5,5,9,1
7,0,50,8,6,7,1,7,0
6,0,60,4,4,5,6,0,1
7,5,40,4,8,8,1,7,0
5.5,0,54,9,6,4,2,0,1
6,2,35,6,8,6,4,7,0
8,3,45,6,7,8,1,14,0
6,0,54,5,3,3,2,1,1
7.5,0,35,4,6,7,5,6,0
6,3,40,5,5,6,3,7,0
8,0,50,9,7,8,1,5,0
5.5,0,55,4,4,4,7,2,1
6,4,25,6,5,5,1,0,0
7,3,50,5,6,7,3,4,0
5.5,0,70,10,3,3,6,0,1
8,2,54,4,7,7,4,8,0
5,0,40,8,4,5,3,3,1
7,4,35,5,6,5,4,2,0
6,0,50,5,5,3,5,5,1
5.5,0,55,7,4,6,2,0,1
7,6,30,6,6,4,5,4,0
6.5,0,45,4,5,6,8,2,1
5.5,2,35,6,6,7,2,15,0
7,0,55,6,4,3,6,0,1
6.5,0,45,10,5,6,0,4,0
5,0,40,6,3,4,5,2,1
7,1,60,3,3,5,2,0,1
7,0,45,5,6,5,3,0,0
6.5,0,50,4,5,6,1,5,0
5,0,60,3,6,5,4,0,1
7,2,55,8,6,7,3,4,0
6,4,30,4,5,6,2,6,0
5,0,45,5,4,5,1,14,1
8,2,50,6,7,7,3,7,0
6,0,72,8,5,5,6,0,1
7,0,70,1,6,5,7,0,1
5.5,0,70,2,7,4,1,0,1
7,2,50,3,7,8,3,4,0
6,1,45,5,6,6,2,5,0
8,0,40,4,4,7,1,10,0
5.5,0,55,1,6,5,6,7,1
7,2,35,9,6,8,3,6,0
6,0,60,7,3,6,1,4,1
5,1,45,5,4,5,4,2,1
7,3,50,6,7,8,1,7,0
5.5,0,45,3,3,4,8,2,1
7,0,35,2,5,6,1,10,0
7,2,55,7,4,5,2,1,1
6,0,55,2,4,7,3,2,1
5,0,54,8,5,4,5,0,1
7,3,45,9,7,6,5,5,0
6,2,50,5,6,8,1,0,0
8,0,50,11,4,3,6,7,1
5.5,2,35,3,8,5,1,5,0
7,2,54,7,5,6,10,0,1
6.5,0,45,6,4,8,2,5,0
